e.emp_id,e.name,e.age,e.job_role,e.salary,e.join_date,e.department,d.loc
9,Jordan Wilson,41,Analyst,46869,2007-05-15,Finance,Chicago
10,James Wright,35,Engineer,122584,2011-07-05,Finance,Chicago
11,Justin Calhoun,37,Manager,122775,2023-07-14,Finance,Chicago
13,Benjamin Rodriguez,49,Consultant,58699,2019-03-01,Finance,Chicago
18,William Taylor,36,Developer,84772,1989-08-16,Finance,Chicago
24,Bonnie Wilson,33,Manager,74271,1983-07-05,Finance,Chicago
37,Colleen Hanson,23,Analyst,122550,1988-09-05,Finance,Chicago
45,Thomas Hester,52,Consultant,70787,1988-03-05,Finance,Chicago
59,Melissa Donaldson,58,Analyst,136798,2016-02-29,Finance,Chicago
63,Jacob Sparks,31,Manager,98240,1983-12-11,Finance,Chicago
69,Melanie Mcdowell,28,Consultant,139284,1998-03-06,Finance,Chicago
71,Beverly Stevenson,40,Developer,135918,1972-03-15,Finance,Chicago
72,Elizabeth Simon,58,Engineer,139333,1998-02-17,Finance,Chicago
74,Gwendolyn Wiggins,48,Manager,141987,2011-03-04,Finance,Chicago
77,Christopher Castillo,30,Manager,132692,1977-03-21,Finance,Chicago
81,Laurie Robertson,22,Analyst,132606,2007-06-08,Finance,Chicago
91,Wendy Doyle,53,Manager,94155,2001-10-30,Finance,Chicago
101,Jessica Baldwin,51,Developer,96892,1997-07-22,Finance,Chicago
106,Thomas Jones,27,Manager,93478,1993-09-20,Finance,Chicago
107,Julia Foster,54,Manager,50757,1991-10-12,Finance,Chicago
109,Daniel Garcia,45,Consultant,79394,1994-02-27,Finance,Chicago
116,Renee Quinn,60,Developer,96343,2014-01-16,Finance,Chicago
121,Ashley Burke,60,Developer,74290,2017-04-01,Finance,Chicago
124,Katherine Barton,23,Consultant,48997,2024-04-20,Finance,Chicago
126,James Gallegos,42,Developer,104549,1982-05-02,Finance,Chicago
127,Robert Gibson,41,Engineer,62765,2011-05-03,Finance,Chicago
130,Mark Anderson,54,Engineer,97175,1979-09-05,Finance,Chicago
131,Stephanie Herring,27,Manager,42923,1997-03-02,Finance,Chicago
135,Kevin Ward,57,Developer,145667,1993-04-22,Finance,Chicago
141,Anthony Hoffman,49,Analyst,117850,2002-09-30,Finance,Chicago
145,Sean Cox,53,Manager,120516,2018-03-03,Finance,Chicago
147,Jessica Hull,31,Manager,100164,2016-02-29,Finance,Chicago
149,Pamela May,55,Analyst,46947,2013-04-13,Finance,Chicago
152,Michele Johnson,58,Analyst,76826,2000-06-21,Finance,Chicago
154,Michael Martin,57,Consultant,59083,1984-12-31,Finance,Chicago
158,Timothy Flores,52,Analyst,108801,2007-04-30,Finance,Chicago
159,Darryl Flynn,38,Developer,117932,1970-01-07,Finance,Chicago
163,Anthony Vasquez,51,Developer,43804,2001-10-17,Finance,Chicago
168,Audrey Fitzpatrick,38,Consultant,146298,1977-01-21,Finance,Chicago
170,Lori Cortez DDS,28,Manager,72084,1987-04-24,Finance,Chicago
173,John Norman,37,Analyst,56839,1991-08-25,Finance,Chicago
176,Dana Carpenter,35,Manager,112201,2016-06-05,Finance,Chicago
179,Wanda Carrillo,41,Analyst,85188,1977-05-31,Finance,Chicago
182,Victoria Norris,31,Analyst,91195,1983-01-05,Finance,Chicago
184,Shawn Johnson,25,Engineer,93839,2024-11-15,Finance,Chicago
187,Christina Garza,39,Developer,74072,2004-11-25,Finance,Chicago
197,Miss Karen Larson MD,40,Consultant,65533,1991-04-26,Finance,Chicago
207,Cheryl Williams,54,Developer,48537,1984-11-08,Finance,Chicago
209,Kimberly Miller,29,Engineer,143561,2005-01-04,Finance,Chicago
210,Carmen Moran,33,Developer,90609,2002-11-09,Finance,Chicago
