e.emp_id,e.name,e.salary,e.department
10,James Wright,122584,Finance
11,Justin Calhoun,122775,Finance
37,Colleen Hanson,122550,Finance
59,Melissa Donaldson,136798,Finance
63,Jacob Sparks,98240,Finance
69,Melanie Mcdowell,139284,Finance
71,Beverly Stevenson,135918,Finance
72,Elizabeth Simon,139333,Finance
74,Gwendolyn Wiggins,141987,Finance
77,Christopher Castillo,132692,Finance
81,Laurie Robertson,132606,Finance
91,Wendy Doyle,94155,Finance
101,Jessica Baldwin,96892,Finance
116,Renee Quinn,96343,Finance
126,James Gallegos,104549,Finance
130,Mark Anderson,97175,Finance
135,Kevin Ward,145667,Finance
141,Anthony Hoffman,117850,Finance
145,Sean Cox,120516,Finance
147,Jessica Hull,100164,Finance
158,Timothy Flores,108801,Finance
159,Darryl Flynn,117932,Finance
168,Audrey Fitzpatrick,146298,Finance
176,Dana Carpenter,112201,Finance
209,Kimberly Miller,143561,Finance
219,Jason Neal,109260,Finance
224,Sean Miller,147585,Finance
228,Paul Galloway,104740,Finance
231,David Navarro,145335,Finance
247,Jeremy Cortez,110938,Finance
260,Daniel Martin,119742,Finance
267,Linda Butler,100518,Finance
276,Alexis Maynard,94788,Finance
289,Andrew Stark,145783,Finance
293,Rebecca Blankenship,147520,Finance
306,Kelly Weber,149707,Finance
307,Tracy Higgins,135075,Finance
309,Nicholas Kane,122098,Finance
319,Diane Barry,110483,Finance
351,Janet Mcdonald,139833,Finance
363,Rebecca Moore,141133,Finance
370,Brian Nelson,127605,Finance
373,Alexis Wiggins,146369,Finance
398,Robert Rivera,108203,Finance
438,Rhonda Ramsey,140685,Finance
449,Jacob Horton,99445,Finance
469,Daniel Williams,137453,Finance
477,Theresa Johnson,148784,Finance
502,Daniel Brown,100415,Finance
509,Jacob Baker,103514,Finance
515,Amy Bautista,130720,Finance
523,Paul Martinez,143248,Finance
550,Kelly Mccoy,104002,Finance
573,Christina Jordan,147233,Finance
591,Michael Melton,110409,Finance
592,Latoya Landry,116957,Finance
597,Tamara Miller,119183,Finance
607,Cindy Clark,135664,Finance
609,Bradley Oliver,149303,Finance
616,Pamela Caldwell,115528,Finance
630,Mark Brooks,125101,Finance
638,Joel Rodriguez,147456,Finance
639,Maria Johnson,146543,Finance
643,Maurice Scott,120291,Finance
661,Frances Mercado,137117,Finance
664,Wanda Wilson,115407,Finance
674,David Martinez,127843,Finance
687,Susan Gomez,148959,Finance
700,Eugene Blair,116654,Finance
701,Paul Carrillo,132995,Finance
705,Michael Smith,147513,Finance
734,Jose Martinez,100737,Finance
741,Noah Smith,127384,Finance
756,Sharon Martinez,96764,Finance
760,Dawn Boyd,97030,Finance
788,Jason Rodriguez,100542,Finance
798,Debbie Gray,149471,Finance
799,Robert Perry,113610,Finance
815,Jordan Oliver,100161,Finance
825,James Peterson,134006,Finance
833,Angela Davis,120069,Finance
854,William Diaz,143437,Finance
870,Charles Rangel,146505,Finance
881,Tracy Townsend,130588,Finance
887,Samantha Davis,115280,Finance
910,Dana Anderson,125160,Finance
918,Matthew Evans,138769,Finance
920,Monica Johnson,94085,Finance
924,Amy Rodriguez,113027,Finance
929,Joseph Schroeder,102353,Finance
936,Ryan Nunez,108732,Finance
940,Cody Mcfarland,103044,Finance
967,Summer Ali,138101,Finance
976,Jeffrey Castillo,149613,Finance
986,Ashley Jackson,144794,Finance
996,Michele Obrien,100661,Finance
5,Tom Hart,125253,HR
16,Andrea Duffy,136842,HR
30,Gregory Brown,148323,HR
35,Jose Shaw,130801,HR
53,Mr. Justin Garcia,97882,HR
60,Zachary Stephens,113619,HR
62,Natalie Rivera,94603,HR
65,George Neal,142513,HR
73,Megan Ramos,95597,HR
78,Jesse Jackson,117432,HR
97,Stephanie Carter,124430,HR
129,Laura Brown,134286,HR
132,Eric Harris,106303,HR
133,Kimberly Ramirez,141440,HR
137,Craig Moore,99885,HR
140,James Hawkins,140037,HR
155,Christina Erickson,129088,HR
164,Angela Carter,103247,HR
167,Christopher Howard,129730,HR
212,Robert West,104538,HR
213,Mariah Wilkinson MD,128020,HR
214,Joshua Fitzgerald,118567,HR
218,Jennifer Mcbride,138197,HR
226,Elizabeth Wagner,121559,HR
233,Carl Fisher,95835,HR
234,Rhonda Jones,148521,HR
235,Rodney Aguilar,144413,HR
236,Jason Garcia,129472,HR
237,Kathryn Johnson,120162,HR
238,Julia Hammond,139263,HR
239,Alexandra George,142086,HR
250,Shane Davis,138616,HR
255,Andrew Forbes,124688,HR
266,Jessica Chavez,123700,HR
282,Edward Jenkins,94819,HR
291,Anthony Evans,114057,HR
301,Andrea Washington,132643,HR
313,Robert Hernandez,119851,HR
324,Corey Bates,103966,HR
327,Patrick Watson,95891,HR
339,Kathy Harrell,135861,HR
347,Felicia Martin,103513,HR
349,Lauren Thomas,131316,HR
353,Micheal Cisneros,105743,HR
356,Pamela Thomas,147578,HR
360,Julie Martin,135019,HR
369,Alicia Sullivan,115735,HR
378,Justin Howard,115896,HR
386,Jill Graham,123625,HR
387,Ryan Alexander,105729,HR
389,Robert Andrews,118030,HR
391,Danielle Pierce,142621,HR
393,Cynthia Durham,138460,HR
404,Paul Reynolds,117464,HR
410,Nicholas Floyd,111768,HR
426,Elizabeth Powell,145625,HR
461,Laura Briggs,95578,HR
470,Haley Mcclure,120083,HR
487,David Smith,123386,HR
497,Jessica Coleman,124564,HR
514,Theresa Solis,108574,HR
518,Ian Miller,124242,HR
524,Erika Haley,131411,HR
529,Patricia Cox,104162,HR
532,Lisa Hunter,126113,HR
536,Daniel Anderson,97725,HR
545,Madison Moore,112817,HR
