emp_id,name,department,project
131,Stephanie Herring,Finance,Alpha
179,Wanda Carrillo,Finance,Alpha
207,Cheryl Williams,Finance,Alpha
253,Cynthia Fischer,Finance,Alpha
254,Kevin Wong,Finance,Alpha
293,Rebecca Blankenship,Finance,Alpha
328,Juan Sanchez,Finance,Alpha
330,Mitchell Williams,Finance,Alpha
368,Colton Jones,Finance,Alpha
402,Stephanie Walters,Finance,Alpha
560,Susan George,Finance,Alpha
10,James Wright,Finance,Alpha
609,Bradley Oliver,Finance,Alpha
688,Tina James,Finance,Alpha
700,Eugene Blair,Finance,Alpha
734,Jose Martinez,Finance,Alpha
737,Jonathan English,Finance,Alpha
750,Emily Morris,Finance,Alpha
756,Sharon Martinez,Finance,Alpha
767,Ryan Mcguire,Finance,Alpha
874,Richard Brown,Finance,Alpha
908,Dalton Davis,Finance,Alpha
924,Amy Rodriguez,Finance,Alpha
13,Benjamin Rodriguez,Finance,Alpha
124,Katherine Barton,Finance,Alpha
300,Charles Meyer,HR,Alpha
301,Andrea Washington,HR,Alpha
303,Bonnie Berger,HR,Alpha
339,Kathy Harrell,HR,Alpha
356,Pamela Thomas,HR,Alpha
410,Nicholas Floyd,HR,Alpha
672,Linda Hahn,HR,Alpha
800,Bryan Peterson,HR,Alpha
841,Samantha Miller,HR,Alpha
935,Denise Newman,HR,Alpha
913,Nichole Underwood,HR,Alpha
489,Gina Green,IT,Alpha
989,Alex Hernandez,IT,Alpha
917,Todd Sparks,IT,Alpha
916,Jacob Rodriguez,IT,Alpha
906,Brianna Hughes,IT,Alpha
882,David Dickerson,IT,Alpha
779,Nicole Lane,IT,Alpha
738,Todd Vang,IT,Alpha
694,Rachael Schwartz,IT,Alpha
640,Daniel Gomez,IT,Alpha
626,Timothy Figueroa,IT,Alpha
528,Heather Sutton,IT,Alpha
512,Marcus Gutierrez,IT,Alpha
503,Louis Lynch,IT,Alpha
481,Wendy Castillo,IT,Alpha
437,Jasmine Edwards,IT,Alpha
377,Tracy Brown,IT,Alpha
372,Tanya Rodgers,IT,Alpha
334,Johnathan Mcgee,IT,Alpha
321,Kylie Hood,IT,Alpha
258,Holly Wright,IT,Alpha
206,Patricia Martinez,IT,Alpha
169,Eric Flores,IT,Alpha
157,Logan Jones,IT,Alpha
138,Holly Moore,IT,Alpha
43,Julie Blankenship,Marketing,Alpha
108,Jill English,Marketing,Alpha
220,Jennifer Garcia,Marketing,Alpha
256,Richard Martin,Marketing,Alpha
261,Jill Moyer,Marketing,Alpha
273,Stephanie Pierce,Marketing,Alpha
326,Katelyn Faulkner,Marketing,Alpha
357,Misty Anderson,Marketing,Alpha
498,Timothy Manning,Marketing,Alpha
600,Charles Melton,Marketing,Alpha
683,Roy Johnston,Marketing,Alpha
740,Donna Johnson,Marketing,Alpha
761,Elizabeth Bailey,Marketing,Alpha
766,Nicole Mullins,Marketing,Alpha
907,Daniel Barton,Marketing,Alpha
927,Jennifer Gonzalez,Marketing,Alpha
928,David Mueller,Marketing,Alpha
96,David Pitts,Operations,Alpha
134,Michael Rivers,Operations,Alpha
202,Aaron Bryant,Operations,Alpha
204,Ms. Deborah Howard,Operations,Alpha
392,William Walsh,Operations,Alpha
420,Robert Gomez,Operations,Alpha
501,Julie Hamilton,Operations,Alpha
531,Kelly Fischer,Operations,Alpha
537,Peter Dodson,Operations,Alpha
541,Carrie Buck,Operations,Alpha
595,Paige Jackson,Operations,Alpha
695,Jennifer Thomas,Operations,Alpha
698,Hunter Baker,Operations,Alpha
831,Jennifer Stafford,Operations,Alpha
848,Kelly Brown,Operations,Alpha
973,Daniel Villegas,Operations,Alpha
978,Michael Sanders,Operations,Alpha
